Document_ID,writer,index_num,index_title_kor,index_title_eng,title,sector,content_eng,content_kor
4,,1.1,소개,a,배경(일반),Safety Context,"1.1. Radioactive waste is material in gaseous, liquid or solid form for which no further use is foreseen. It contains, or is contaminated with, radionuclides at concentrations or activities greater than the clearance levels as established by the regulatory body. Radioactive waste arises from the operation of nuclear power plants and research reactors, from nuclear fuel cycle operations and from other activities in which radioactive material is used. Radioactive waste presents a potential hazard to human health and the environment and it must be managed so as to ensure any associated risks do not exceed acceptable levels.","1.1. 방사성폐기물은 더 이상 사용이 예상되지 않는 기체, 액체 또는 고체 형태의 물질이다. 이는 규제기관이 설정한 규제해제(clearance level) 이상의 농도나 방사능을 가진 방사성핵종을 포함하거나 그것으로 오염된 것을 말한다. 방사성폐기물은 원자력발전소와 연구용 원자로의 가동, 핵연료주기시설의 운영, 그 외 방사성물질이 사용되는 여러 가지 작업으로부터 발생한다. 방사성폐기물은 인간의 건강과 환경에 잠재적인 위험을 주게 되며, 관련 위험이 허용 수준을 넘지 않도록 관리되어야 한다."
4,,1.2,소개,a,배경(일반),Safety Context,"1.2. The term ‘geological disposal’ refers to the disposal of solid radioactive waste in a disposal facility located underground in a stable geological formation so as to provide long term containment of the waste and isolation of the waste from the accessible biosphere. Disposal means that there is no intention to retrieve the waste, although such a possibility is not ruled out. Geological disposal is a method for disposing of, in particular, the more hazardous types of radioactive waste, which pose a significant radiological hazard over long time periods.
","1.2. '심층처분(geological disposal)'이라는 용어는 안정한 심층(geological formation) 내의 지하에 위치하는 처분시설에 고체 형태의 방사성폐기물을 처분하여 접근가능한 생태계로부터 폐기물을 격리(isolation)하고 장기간 폐기물을 격납(containment)하는 것을 의미한다. 처분은 폐기물을 고의로 회수할 의도가 없음을 의미하지만, 그 가능성을 배제하지는 않는다. 심층처분은 특히 오랜 기간 동안 상당한 방사선적 위험을 일으키는 보다 위험한 종류의 방사성폐기물을 처분하기 위한 방법이다. "
4,,1.3,소개,a,배경(일반),Safety Context,"1.3. This Safety Guide provides guidance for policy makers, regulatory bodies and operators concerned with the development and regulatory control of facilities for the geological disposal of radioactive waste. It provides recommendations on how to meet the safety requirements for the disposal of radioactive waste established in SSR-5 [1]. Both this Safety Guide and Ref. [1] are consistent with the safety principles to be applied in all radioactive waste management activities as set out in the Fundamental Safety Principles [2]. The same principles form the technical basis for the Joint Convention on the Safety of Spent Fuel Management and on the Safety of Radioactive Waste Management [3]. The relevant principles and requirements for radiation protection are also established in the Fundamental Safety Principles [2] and the International Basic Safety Standards for Protection against Ionizing Radiation and for the Safety of Radiation Sources (BSS) [4], respectively.","1.3. 본 안전지침(Safety Guide)은 방사성폐기물 심층처분시설의 개발 및 규제와 관련한 정책 입안자, 규제기관, 사업자에게 지침을 제공하기 위한 것이다. 이 지침은 SSR-5[1]에서 정한 방사성폐기물 처분에 대한 안전요건(Safety Requirement)을 충족하는 방법에 대한 권고를 제공한다. 이 안전지침과 안전요건[1] 둘 다 기본안전원칙(Fundamental Safety Principles)[2]에 명시된 대로 모든 방사성폐기물 관리 활동에 적용되는 안전원칙과 일치한다. 동일한 원칙이 사용후핵연료 및 방사성폐기물 관리 안전에 관한 공동 협약(Joint Convention on the Safety of Spent Fuel Management and on the Safety of Radioactive Waste Management)[3]의 기술적 기반을 형성한다. 또한 방사선방호에 대한 관련 원칙과 요건은 기본안전원칙[2]과 전리방사선 방호 및 방사선원 안전을 위한 국제기본안전기준(International Basic Safety Standards for Protection against Ionizing Radiation and for the Safety of Radiation Sources, BSS)[4]에 각각 규정되어 있다. 
"
4,,1.4,소개,a,배경(일반),Safety Context,"1.4. Research into the geological disposal of radioactive waste has been under way for several decades [5]. At present, practical experience gained in the disposal of radioactive waste in geological formations is limited. For high level waste, characterization of sites for proposed geological disposal facilities has been carried out in a number of States, and a few States have constructed underground laboratories or facilities for characterization of the host rocks. There are only a few operating geological disposal facilities for intermediate level waste. Experience in closing of geological disposal facilities is very limited.","1.4. 방사성폐기물 심층처분에 관한 연구가 몇십 년 동안 진행되어왔다[5]. 현재 심층에서 방사성폐기물 처분으로부터 얻어진 실질적인 경험은 제한적이다. 고준위폐기물에 대한 제안된 심층처분시설에 대한 부지특성조사가 많은 체약국에서 수행되어 왔으나, 몇 개의 체약국만이 모암(host rock)의 특성조사를 위해 지하실험실이나 시설을 건설하였다. 중준위 폐기물에 대해서는 단지 수 개의 심층처분시설이 운영 중이다. 심층처분시설의 폐쇄에 대한 경험은 매우 제한적이다. 
"
4,,1.5,소개,a,배경(일반),Safety Context,"1.5. Disposal in geological formations has, in particular, been advocated as a long term management solution for high level and intermediate level waste. Feasibility studies, site specific safety cases and operational experience have generally strengthened confidence in the safety of geological disposal. The decision to adopt this option in a particular State is a matter for national decision makers, taking account of economic and social factors and national radioactive waste management policies, needs and requirements.","1.5. 특히 고준위와 중준위 방사성폐기물의 장기 관리의 해법으로 심층 내 처분이 주장되어왔다. 타당성 조사, 부지고유 Safety Case와 운영 경험은 심층처분의 안전성에 대한 신뢰를 강화하였다. 특정 국가에서 해당 옵션을 채택하려는 결정은 경제적, 사회적 요인과 각국의 방사성폐기물 관리 정책, 필요성과 요건을 고려한 의사결정권자에 대한 문제이다.
"
4,,1.6,소개,a,배경(일반),Safety Context,"1.6. As noted, experience in the construction and operation of geological disposal facilities is limited, and there is limited practical experience with facility closure. Therefore, the recommendations provided in this Safety Guide are based on the safety principles established by the IAEA [2] and other international organizations for the geological disposal of radioactive waste and on practical experience gained in different States. This Safety Guide will be revised and expanded in the future as further experience is gained and as geological disposal programmes mature.","1.6. 위에서 언급된 바와 같이, 심층처분시설의 건설 및 운영에 관한 경험이 제한적이고, 또한 시설 폐쇄에 대한 실제 경험도 제한적이다. 따라서 이 안전지침에서 제공하는 권고사항은 IAEA가 규정하는 안전원칙[2]과 심층처분에 대한 다른 국제기구가 정한 안전원칙 및 여러 체약국에서 얻어진 실제 경험을 기반으로 하였다. 이 안전지침은 심층처분 프로그램이 점차 발전함에 따라 향후 얻어지는 경험을 반영하여 확장되거나 개정될 것이다.
"
4,,1.7,소개,a,배경(일반),Safety Context,"1.7. There is a notable difference in the approach to safety taken for a geological disposal facility compared with that for a nuclear installation. This is primarily because the core mission of a nuclear installation, such as a fuel fabrication plant, a nuclear power plant or a reprocessing facility, is carried out during its operating life and involves a production activity such as the generation of electrical power. Nuclear installations rely on operational limits and conditions for the active safety systems they employ. In contrast to a nuclear installation, the core mission of a geological disposal facility for long lived waste is to provide passive safety over very long time periods (of the order of thousands of years and longer). Operational limits and conditions have a different importance for geological disposal facilities because overall safety is evaluated on the assumption that such measures will not be effective or relied on for ensuring safety.","1.7. 심층처분시설에서 고려되는 안전성 접근법에는 원자력시설과 비교하여 상당한 차이가 있다. 이는 근본적으로 핵연료가공시설, 원자력발전소, 재처리시설과 같은 원자력시설의 핵심 역할이 그것의 운영 기간 동안에만 수행되고, 전력 생산과 같은 생산 활동을 포함하기 때문이다. 원자력시설은 능동적인 안전 시스템의 운전제한조건(OLC, Operational limits and conditions)에 의존한다. 원자력시설과는 달리 장수명 폐기물에 대한 심층처분시설의 핵심 역할은 매우 긴 기간(수천 년 또는 그 이상)을 통해 수동적인 안전을 제공하는 것이다. 전반적인 안전성은 이러한 수단이 효과적이지 않고, 또한 안전성 확보를 위해 해당 수단에 의존하지 않는다는 가정하에 평가되기 때문에 운전제한조건은 심층처분시설에서 다른 중요성을 가진다. 
"
4,,1.8,소개,a,목적,Safety Context,1.8. The objective of this Safety Guide is to provide guidance and recommendations relating to the development and regulatory control of facilities for the geological disposal of radioactive waste to meet the safety requirements established in Ref. [1]. It is primarily intended for use by those involved with the regulatory control and implementation of geological disposal. The decision to adopt geological disposal as a waste management option is not addressed in this Safety Guide.,1.8. 본 안전지침의 목적은 참고문헌[1]에서 정한 안전요건을 충족하기 위해 방사성폐기물의 심층처분시설에 대한 개발 및 규제와 관련한 지침과 권고사항을 제공하기 위한 것이다. 이는 주로 심층처분의 개발 및 규제 와 관련된 사람에 의해 사용되기 위한 것이다. 폐기물 관리의 선택사항으로서 심층처분을 결정하는 것과 관한 사항은 본 안전지침에 언급되지 않는다.
4,,1.9,소개,a,범위,Safety Context,"1.9. The scope of this Safety Guide is the safe development of an excavated underground disposal facility. It does not apply to borehole disposal facilities, for which recommendations are provided in Ref. [6]. Disposal of radioactive waste in pre-existing excavations may be contemplated, but would need to meet the same safety requirements established in Ref. [1].","1.9. 본 안전지침의 범위는 굴착된 지하처분시설의 안전한 개발이다. 이 지침은 시추공 처분시설에는 적용되지 않으며, 시추공 처분시설에 대한 권고사항은 참고문헌[6]에서 제공된다. 이미 존재하는 지하동굴에 방사성폐기물을 처분하는 것도 고려할 수 있지만, 이 또한 참고문헌[1]에 정해진 안전요건은 충족되어야 한다. "
4,,1.10,소개,a,범위,Safety Context,"1.10. This Safety Guide is primarily concerned with activities associated with the development of geological disposal facilities after a site has been selected. It should be noted that siting encompasses a range of activities from initial conceptual design and site selection through to confirmation of the site for construction of a disposal facility. Whilst site characterization and site confirmation are addressed in this Safety Guide, site selection is not because it includes many aspects that are non-technical and specific to the societal context. General recommendations regarding the technical and scientific aspects of siting are provided in Appendix I.","1.10. 본 안전지침은 하나의 부지가 선택된 이후의 심층처분시설 개발과 관련한 활동과 주로 관계된다. 부지선정과정(Siting)은 초기 개념설계와 부지선정(site selection)부터 처분시설의 건설을 위한 부지확정(site confirmation)에 이르기까지 다양한 활동 범위를 포함한다는 것을 인지해야 한다. 부지특성조사 및 부지확정과 관련한 사항이 본 안전지침에서도 언급되나, 부지선정은 기술적인 사항이 아니라 사회적 맥락에 따라 여러 측면을 포함하고 있기 때문에 본 지침에서는 언급되지 않는다. 부지결정의 기술적 및 과학적 측면에 관한 일반적인 권고사항은 부록 I에 제공된다.
[(역주)“siting”은 부지를 선정하기 위한 계획수립부터 최종부지가 확정되기까지의 전체과정을 의미하여 “부지선정과정(site selection process)”으로 하고, “site selection”은 후보부지를 정하기 위한 행위로 “부지선정”으로 하고, “site confirmation”은 후보부지를 최종부지로 확정하기 위한 것으로 “부지확정”으로 번역함.]"
