Document_ID,writer,index_num,index_title_kor,index_title_eng,title,sector,content_eng,content_kor
2,,1.1,일반,a,배경,Safety Context,"1.1. Radioactive waste arises from the generation of electricity in nuclear power-plants, from nuclear fuel cycle operations and from activities in which radioactive-material is used. It also arises from activities and processes in which radioactive material of natural origin becomes concentrated in waste material and safety needs to be considered in its management. Radioactive waste can be generated by a wide range of activities varying from activities in hospitals to nuclear power plants to mines and mineral processing facilities. ","1.1. 원자력발전소의 전력 생산, 핵연료주기시설의 운영 및 방사성물질을 이용한 활동을 통해 방사성폐기물이 발생한다. 방사성폐기물은 천연 방사성물질이 폐기물로 농축되는 활동이나 과정에서도 발생할 수 있기 때문에 해당 폐기물 관리에 있어 안전성을 고려해야 한다. 방사성폐기물은 병원, 원자력발전소, 광산 및 광물자원 처리시설 등 광범위한 활동을 통해서도 생성될 수 있다."
2,,1.2,일반,a,배경,Safety Context,"1.2. The properties of radioactive waste are likewise varied, not only in terms of radioactive content and activity concentration but also in terms of physical and chemical properties. Its rate of generation is also varied. A common characteristic of all radioactive waste is its potential to present a hazard to people and to the environment, and it must, therefore, be managed so as to reduce any associated risks to acceptable levels. The potential hazard can range from large to trivial:a variation reflected in the management and disposal options necessary for various types of waste. ","1.2. 방사성물질의 함량, 방사능농도, 물리적·화학적 특성에 따라 다양한 특성의 방사성폐기물이 발생되며, 방폐물 생성속도에도 차이가 있다. 모든 방사성폐기물은 인간과 환경에 유해한 영향을 미칠 수 있다는 공통된 특성이 있으며, 따라서 관련된 위험을 허용 가능한 수준까지 낮출 수 있도록 관리해야 한다. 대형 사고에서 사소한 문제에 이르기까지 잠재 위험은 그 범위가 다양하다. 다양한 폐기물 종류에 따라 필요한 관리 및 처분 방안에 이와 같은 차이점을 반영한다."
2,,1.3,일반,a,배경,Safety Context,1.3. The safety principles to be applied in all activities for radioactive waste management are set out in the IAEA Safety Fundamentals [1]. These principles also form the ethical and conceptual basis for the Joint Convention on the Safety of Spent Fuel Management and on the Safety of Radioactive Waste Management[2]. The requirements for radiation protection are set out in the International Basic Safety Standards for Protection against Ionizing Radiation and for the Safety of Radiation Sources (the International Basic Safety Standards) [3]. Many of the safety requirements and concepts of protection adopted in the standards and in the Joint Convention [2] derive from the recommendations of the International Commission on Radiological Protection (ICRP) [4?7]. ,"1.3. 방사성폐기물 관리와 관련된 모든 활동에 적용되는 안전요건은 안전원칙은 IAEA안전원칙(IAEA Safety Fundamentals)[1]에서 기술한다. 또한, 안전요건은 사용후핵연료 및 방사성폐기물 관리의 안전 공동협약(Joint Convention on the Safety of Spent Fuel Management and on the Safety of Radioactive Waste Management)[2]의 윤리적·개념적 기초가 된다. 방사선방호의 요건은 전리방사선 방호와 방사선원의 안전을 다룬 국제기본안전기준(International Basic Safety Standards for Protectionagainst Ionizing Radiation and for the Safety of Radiation Sources, 이하 국제기본안전기준)[3]에서 기술한다. 기준과 공동협약[2]에서 채택한 수많은 안전요건과 방호개념은 국제 방사선방호 위원회(International Commission on Radiological Protection, ICRP)의 권고안으로부터 도출했다[4-7]. "
2,,1.4,일반,a,배경,Safety Context,"1.4. This Safety Requirements publication establishes safety requirements relating to the disposal of radioactive waste of all types. It sets out the safety objective and criteria for the protection of people and the environment against radiation risks arising from disposal facilities for radioactive waste in operation and after closure. In order to meet the criteria, measures may need to be taken insite selection and evaluation and in the design, construction, operation and closure of the disposal facility. The requirements are essential from a safety perspective and failure to meet any of the requirements would require action to betaken.","1.4. 본 안전 요건 간행물은 모든 종류의 방사성폐기물 처분에 대한 안전요건을 수립한다. 운영 기간과 폐쇄 후 기간동안 방사성폐기물 처분시설에서 발생하는 방사선 위험으로부터 인간과 환경을 방호하기 위해 안전목표와 기준을 수립한다. 해당 기준을 충족하기 위해, 부지선정 및 평가, 처분시설의 설계, 시공, 운영 및 폐쇄 과정에서 필요한 조치를 취할 수 있다. 안전성의 관점에서 요건은 필수적이며, 요건을 준수하지 않는 경우 후속 조치가 뒤따라야 한다."
2,,1.5,일반,a,배경,Safety Context,"1.5. This Safety Requirements publication does not reiterate all the safety requirements in respect of the governmental, legal and regulatory framework,radiation protection and emergency planning that are established in other Safety Requirements publications. It is based on the premise that, in general,arrangements have to be in place to ensure that these related requirements are met. This Safety Requirements publication does set out some requirements that are closely related to these other thematic areas and which are of particular importance to the safety of radioactive waste disposal facilities. Guidance on the fulfilment of the safety requirements set out in this Safety Requirements publication is provided in several Safety Guides specific to different types of radioactive waste disposal facility.","1.5. 본 간행물은 기타 안전요건 관련 간행물에서 수립된 정부, 법률 및 규제 체계, 방사선방호 및 비상계획에 관한 모든 안전요건을 반복하여 언급하지 않는다. 본 간행물은 관련 요건을 준수할 수 있도록 일반적으로 협정이 체결되어야 한다는 기본전제에 바탕을 둔다. 본 간행물은 다른 주제 분야와 밀접한 연관성이 있으며, 특히 방사성폐기물 처분시설의 안전성에 있어 일부 주요 요건을 규정한다. 본 간행물에서 규정된 안전요건의 이행에 관한 지침은 다른 종류의 방사성폐기물처분시설을 대상으로 하는 몇몇 안전지침(Safety Guides)을 통해 제시된다. "
2,,1.6,일반,a,배경,Safety Context,"1.6. The preferred strategy for the management of all radioactive waste is to contain it (i.e. to confine the radionuclides to within the waste matrix, the packaging and the disposal facility) and to isolate it from the accessible biosphere. This strategy does not preclude the discharge (i.e. controlled release)of effluents, arising from waste management activities, that contain residual amounts of radionuclides, or the clearance of materials that meet the relevant criteria. International safety standards have been established covering both of these circumstances [8, 9].","1.6. 모든 방사성폐기물 관리에 있어 폐기물을 저장(가령, 방사성 핵종을 폐기물 매트릭스, 포장 및 처분시설에 격납)하고 접근이 용이한 생물권으로부터 격리하는 전략이 선호된다. 이와 같은 전략이 폐기물 관리 활동에서 발생하는 방사성 핵종의 잔류량을 포함한 유출물의 방출(가령 통제방출) 또는 관련 기준을 충족하는 물질의 규제해제를 금지하는 것은 아니다. 이들 두 경우를 다루는 국제안전기준이 수립되어 있다[8,9]. "
2,,1.7,일반,a,배경,Safety Context,"1.7. Radioactive waste may arise initially in various gaseous, liquid and solid forms. In waste management activities, the waste is generally processed to produce stable and solid forms, and reduced in volume and immobilized, as far as practicable, to facilitate their storage, transport and disposal. This Safety Requirements publication is concerned with the stage of disposal of solid or solidified materials, which is the last step in the process of radioactive waste management.","1.7. 방사성폐기물은 초기에 기체, 액체 및 고체의 다양한 형태로 발생할 수 있다. 폐기물 관리 활동을 통해 일반적으로 폐기물은 가공 처리를 거쳐 안정적인 고체 형태로 변하면서 부피가 줄어들고 가능한 수준까지 고정화되어서 저장, 운반 및 처분이 용이하게 된다. 본 간행물은 고체 또는 고화처리 된 물질의 처분단계를 다루며, 이는 방사성폐기물 관리 과정의 최종단계에 해당한다. "
2,,1.8,일반,a,방사성폐기물의 처분(및 저장)에 관한 개념,Safety Context,"1.8. The term ‘disposal’ refers to the emplacement of radioactive waste into a facility or a location with no intention of retrieving the waste1. Disposal options are designed to contain the waste by means of passive engineered and natural features and to isolate it from the accessible biosphere to the extent necessitated by the associated hazard. The term disposal implies that retrieval is not intended;it does not mean that retrieval is not possible.
1) Terminology used in this publication is defined and explained in the IAEA SafetyGlossary [10] (see http://www-ns.iaea.org/standards/safety-glossary.htm).","1.8. ‘처분1’이라는 용어는 방사성폐기물을 회수할 의도 없이 해당 폐기물을 시설 또는 장소에 정치(定置)하는 행위를 말한다. 처리 방안은 수동적인 공학적·자연적 특성을 통해 폐기물을 보관하고 관련된 위험에 따라 필요한 수준으로 접근이 용이한 생물권으로부터 폐기물을 격리할 수 있도록 계획된다. 처분이라는 단어는 회수할 목적은 없음을 시사한다. 그렇다고 해서 회수가 불가능하다는 의미는 아니다.
1) 본 간행물에서 사용하는 용어는 IAEA 안전 용어집(IAEA Safety Glossary)[10]에서 정의되고 설명되어 있다 (http://www-ns.iaea.org/standards/safety-glossary.htm 참고)."
2,,1.9,일반,a,방사성폐기물의 처분(및 저장)에 관한 개념,Safety Context,"1.9. By contrast, the term ‘storage’ refers to the retention of radioactive waste ina facility or a location with the intention of retrieving the waste. Both options,disposal and storage, are designed to contain waste and to isolate it from the accessible biosphere to the extent necessary. The important difference is that storage is a temporary measure following which some future action is planned.This may include further conditioning or packaging of the waste and, ultimately,its disposal. Guidance on the safe storage of radioactive waste is provided in Ref. [11].","1.9. 이와는 반대로, ‘저장’이라는 용어는 방사성폐기물을 회수할 목적으로 시설 또는 장소에 보관한다는 뜻이다. 처분과 저장 두 가지 방안 모두 폐기물을 보관하고 필요한 만큼 접근이 용이한 생물권으로부터 격리할 수 있도록 계획된다. 저장은 향후 후속조치가 뒤따르는 임시조치라는 점에서 처분과는 큰 차이가 있다. 이러한 후속조치에는 폐기물의 안정화나 포장, 궁극적으로는 처분이 포함될 수 있다. 방사성폐기물의 안전한 저장에 대한 지침은 참고자료[11]를 통해 제공된다. 
"
2,,1.10,일반,a,방사성폐기물의 처분(및 저장)에 관한 개념,Safety Context,"1.10. A number of design options for disposal facilities have been developed andvarious types of disposal facility have been constructed in many States and are in operation. These design options have different degrees of containment and isolation capability appropriate to the radioactive waste that they will receive.The specific aims of disposal are:
(a) To contain the waste.
(b) To isolate the waste from the accessible biosphere and to reduce substantially the likelihood of, and all possible consequences of,inadvertent human intrusion2 into the waste;
(c) To inhibit, reduce and delay the migration of radionuclides at any time from the waste to the accessible biosphere;
(d) To ensure that the amounts of radionuclides reaching the accessible biosphere due to any migration from the disposal facility are such that possible radiological consequences are acceptably low at all times.
2)‘Human intrusion’ refers to human actions that affect the integrity of a disposal facility and which could potentially give rise to radiological consequences. Only those human actions that result in direct disturbance of the disposal facility (i.e. the waste itself, the contaminated near field or the engineered barrier materials) are considered.","1.10. 처분시설에 대한 여러 설계 방법이 이미 개발되었으며, 다양한 종류의 처분시설이 많은 국가에 건설되어 운영 중에 있다. 이들 설계 방법은 반입되는 방사성폐기물에 적합하도록 오염도와 격리기능에서 차이를 나타낸다. 처분의 구체적인 목적은 다음과 같다.
(a) 폐기물을 보관한다. 
(b) 접근이 용이한 생물권으로부터 폐기물을 격리하고, 폐기물에 대한 부주의한 인간침입2 가능성과 그에 따른 모든 예측 가능한 영향을 크게 축소시킨다.
(c) 폐기물에서 나온 방사성 핵종이 접근이 용이한 생물권으로 이동하는 것을 억제, 감소, 지연시킨다.
(d) 방사선핵종이 처분시설로부터 접근이 용이한 생물권에 도달하여 야기하는 방사선학적 영향을 항상 허용 가능한 수준으로 낮게 유지할 수 있어야 한다. 
2)‘인간 침입’은 처분시설의 건전성에 영향을 미치고 방사선학적 영향을 일으킬 가능성이 있는 인간의 행위를 일컫는다. 처분시설에 직접적인 장애를 야기하는 인간 행위만 고려 대상이다(가령, 폐기물 자체, 오염된 주변 지역 및 공학적 방벽 물질).
"
